time,magX,magY,magZ,accX,accY,accZ,gyrX,gyrY,gyrZ,eulerX,eulerY,eulerZ,linX,linY,linZ,gravX,gravY,gravZ
1686659447.358817,4.25,-22.875,-46.5,-0.29,0.33,9.38,0.0,0.0,0.0,186.0,-1.4375,-2.0,-0.05,0.0,-0.37,-0.25,0.34,9.790000000000001
1686659447.411652,2.875,-22.875,-46.875,-0.29,0.36,9.41,0.001090830782496456,0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,0.02,-0.43,-0.25,0.34,9.790000000000001
1686659447.464144,3.1875,-22.5,-46.0625,-0.29,0.35000000000000003,9.370000000000001,0.0,0.0,-0.001090830782496456,186.0,-1.4375,-2.0,-0.04,0.0,-0.43,-0.25,0.34,9.790000000000001
1686659447.513055,3.5,-22.5,-47.5625,-0.27,0.37,9.41,-0.001090830782496456,0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.02,-0.02,-0.4,-0.25,0.34,9.790000000000001
1686659447.562103,3.5,-22.875,-46.0625,-0.3,0.36,9.39,-0.001090830782496456,0.001090830782496456,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.44,-0.25,0.34,9.790000000000001
1686659447.614039,3.5,-23.1875,-45.5625,-0.28,0.34,9.4,0.001090830782496456,-0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.42,-0.25,0.34,9.790000000000001
1686659447.664347,3.5,-22.5,-47.1875,-0.3,0.33,9.39,-0.001090830782496456,0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.04,0.01,-0.39,-0.25,0.34,9.790000000000001
1686659447.715179,3.1875,-23.5625,-46.0625,-0.27,0.33,9.38,0.0,-0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.02,0.0,-0.42,-0.25,0.34,9.790000000000001
1686659447.764658,3.1875,-22.5,-46.375,-0.29,0.35000000000000003,9.39,-0.001090830782496456,0.001090830782496456,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.01,-0.42,-0.25,0.34,9.790000000000001
1686659447.814857,3.5,-22.5,-46.375,-0.31,0.36,9.42,0.0,-0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.02,-0.02,-0.42,-0.25,0.34,9.790000000000001
1686659447.866003,3.5,-22.875,-46.375,-0.28,0.35000000000000003,9.38,0.002181661564992912,0.0,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659447.91662,3.1875,-24.25,-46.75,-0.3,0.33,9.39,0.001090830782496456,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.01,0.0,-0.43,-0.25,0.34,9.790000000000001
1686659447.966863,3.5,-22.875,-45.5625,-0.29,0.34,9.38,0.002181661564992912,-0.002181661564992912,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659448.017144,4.25,-22.875,-47.25,-0.28,0.36,9.39,0.001090830782496456,-0.001090830782496456,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.42,-0.25,0.34,9.790000000000001
1686659448.0674,3.875,-22.875,-46.75,-0.29,0.35000000000000003,9.39,0.0,0.0,0.002181661564992912,186.0,-1.4375,-2.0,-0.03,0.01,-0.43,-0.25,0.34,9.790000000000001
1686659448.118463,3.5,-22.0625,-47.1875,-0.29,0.34,9.41,0.0,-0.003272492347489368,0.002181661564992912,186.0,-1.4375,-2.0,-0.02,0.0,-0.42,-0.25,0.34,9.790000000000001
1686659448.168249,3.875,-22.875,-45.5625,-0.29,0.35000000000000003,9.39,-0.001090830782496456,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.06,0.0,-0.42,-0.25,0.34,9.790000000000001
1686659448.218384,3.875,-22.875,-46.75,-0.29,0.34,9.4,-0.001090830782496456,0.002181661564992912,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.01,-0.42,-0.25,0.34,9.790000000000001
1686659448.268583,3.1875,-22.5,-46.375,-0.28,0.34,9.39,0.002181661564992912,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.44,-0.25,0.34,9.790000000000001
1686659448.319662,3.875,-22.0625,-44.75,-0.28,0.33,9.39,0.0,-0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.02,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659448.370753,3.875,-23.1875,-47.1875,-0.28,0.35000000000000003,9.39,0.0,-0.001090830782496456,-0.001090830782496456,186.0,-1.4375,-2.0,-0.02,0.01,-0.4,-0.25,0.34,9.790000000000001
1686659448.421301,4.25,-22.0625,-46.6875,-0.29,0.35000000000000003,9.36,0.0,0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.01,-0.42,-0.25,0.34,9.790000000000001
1686659448.47149,2.875,-22.875,-46.6875,-0.27,0.33,9.38,0.0,0.0,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.43,-0.25,0.34,9.790000000000001
1686659448.522018,2.875,-23.1875,-46.75,-0.28,0.34,9.4,0.001090830782496456,0.0,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.43,-0.25,0.34,9.790000000000001
1686659448.573051,2.875,-22.5,-46.0,-0.27,0.33,9.41,0.0,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.39,-0.25,0.34,9.790000000000001
1686659448.624468,3.5,-22.0625,-46.0625,-0.29,0.36,9.4,0.001090830782496456,0.0,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.39,-0.25,0.34,9.790000000000001
1686659448.676364,3.1875,-22.5,-46.75,-0.29,0.35000000000000003,9.38,0.0,0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.42,-0.25,0.34,9.790000000000001
1686659448.729852,3.1875,-22.875,-48.375,-0.28,0.36,9.39,0.001090830782496456,0.002181661564992912,0.0,186.0,-1.4375,-2.0,-0.03,0.01,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659448.782235,4.25,-22.0625,-45.5625,-0.28,0.35000000000000003,9.39,0.002181661564992912,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.05,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659448.835131,3.5,-22.5,-47.25,-0.3,0.36,9.38,0.0,0.0,0.0,186.0,-1.4375,-2.0,-0.03,0.01,-0.4,-0.25,0.34,9.790000000000001
1686659448.886413,2.875,-22.0625,-46.75,-0.29,0.34,9.38,-0.001090830782496456,0.002181661564992912,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659448.937163,2.875,-23.1875,-46.0,-0.28,0.34,9.370000000000001,0.0,0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,-0.01,-0.38,-0.25,0.34,9.790000000000001
1686659448.987816,3.1875,-22.875,-46.375,-0.29,0.34,9.370000000000001,0.0,0.002181661564992912,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.38,-0.25,0.34,9.790000000000001
1686659449.037936,4.25,-21.6875,-46.75,-0.29,0.38,9.36,0.0,0.0,-0.002181661564992912,186.0,-1.4375,-2.0,-0.04,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659449.089221,3.875,-22.875,-46.375,-0.3,0.34,9.370000000000001,0.0,-0.001090830782496456,-0.002181661564992912,186.0,-1.4375,-2.0,-0.03,0.01,-0.42,-0.25,0.34,9.790000000000001
1686659449.139002,4.6875,-22.875,-46.375,-0.26,0.37,9.370000000000001,0.0,0.0,0.002181661564992912,186.0,-1.4375,-2.0,-0.04,0.01,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659449.189487,3.1875,-22.5,-47.1875,-0.27,0.35000000000000003,9.36,0.002181661564992912,-0.001090830782496456,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,-0.01,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659449.239226,3.5,-23.5625,-46.375,-0.28,0.36,9.38,-0.002181661564992912,-0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.04,0.02,-0.38,-0.25,0.34,9.790000000000001
1686659449.288905,4.25,-23.1875,-48.0625,-0.29,0.36,9.38,-0.001090830782496456,0.002181661564992912,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.37,-0.25,0.34,9.790000000000001
1686659449.339591,3.875,-22.0625,-45.5625,-0.27,0.34,9.38,0.0,0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.02,0.01,-0.44,-0.25,0.34,9.790000000000001
1686659449.389285,4.6875,-22.875,-45.875,-0.3,0.36,9.370000000000001,0.0,0.001090830782496456,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.01,-0.4,-0.25,0.34,9.790000000000001
1686659449.439291,3.875,-22.875,-46.375,-0.29,0.33,9.370000000000001,0.0,0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.02,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659449.489497,3.875,-22.875,-46.25,,0.34,9.39,-0.001090830782496456,-0.002181661564992912,-0.001090830782496456,186.0,-1.4375,-2.0,-0.04,0.0,-0.4,-0.25,0.34,9.790000000000001
1686659449.539164,3.1875,-22.0625,-46.25,-0.31,0.35000000000000003,9.38,0.0,-0.002181661564992912,0.0,186.0,-1.4375,-2.0,-0.03,0.01,-0.39,-0.25,0.34,9.790000000000001
1686659449.589883,3.5,-22.5,-45.875,-0.26,0.33,9.39,-0.001090830782496456,0.001090830782496456,-0.002181661564992912,186.0,-1.4375,-2.0,-0.03,0.0,-0.4,-0.25,0.34,9.790000000000001
1686659449.640346,3.1875,-22.875,-46.0,-0.3,0.36,9.370000000000001,-0.001090830782496456,0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.04,0.02,-0.39,-0.25,0.34,9.790000000000001
1686659449.690422,2.875,-22.0625,-46.6875,-0.29,0.37,9.39,0.0,-0.002181661564992912,0.0,186.0,-1.4375,-2.0,-0.05,-0.01,-0.4,-0.25,0.34,-323.01
1686659449.740537,3.1875,-22.875,-48.0,-0.29,0.36,9.38,0.001090830782496456,-0.002181661564992912,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
