time,magX,magY,magZ,accX,accY,accZ,gyrX,gyrY,gyrZ,eulerX,eulerY,eulerZ,linX,linY,linZ,gravX,gravY,gravZ
1686659296.902145,2.5625,-24.75,-43.1875,-0.23,0.34,9.370000000000001,-0.001090830782496456,0.0,0.002181661564992912,183.75,-1.375,-1.8125,-0.01,0.03,-0.43,-0.24,0.31,9.790000000000001
1686659296.956704,3.375,-25.5,-42.875,-0.24,0.33,9.370000000000001,0.001090830782496456,0.0,0.0,183.75,-1.375,-1.8125,-0.01,0.03,-0.42,-0.24,0.31,9.790000000000001
1686659297.009576,2.25,-25.1875,-43.1875,-0.24,0.36,9.39,0.0,0.001090830782496456,-0.001090830782496456,183.75,-1.375,-1.8125,0.01,0.02,-0.39,-0.24,0.31,9.790000000000001
1686659297.059557,2.5625,-24.75,-44.0625,-0.24,0.34,9.370000000000001,0.0,0.001090830782496456,-0.001090830782496456,183.75,-1.375,-1.8125,0.0,0.01,-0.43,-0.24,0.31,9.790000000000001
1686659297.110096,3.375,-24.0,-44.5,-0.24,0.33,9.370000000000001,0.0,0.0,-0.001090830782496456,183.75,-1.375,-1.8125,0.0,0.04,-0.4,-0.24,0.31,9.790000000000001
1686659297.161619,2.5625,-25.1875,-44.5,-0.25,0.34,9.39,0.0,-0.001090830782496456,0.0,183.75,-1.375,-1.8125,0.0,0.04,-0.4,-0.24,0.31,9.790000000000001
1686659297.211548,2.5625,-25.1875,-45.375,-0.25,0.34,9.370000000000001,0.001090830782496456,0.001090830782496456,0.001090830782496456,183.75,-1.375,-1.8125,-0.01,0.03,-0.42,-0.24,0.31,9.790000000000001
1686659297.262554,2.0,-24.75,-43.75,-0.24,0.32,9.34,-0.002181661564992912,-0.002181661564992912,0.001090830782496456,183.75,-1.375,-1.8125,0.0,0.03,-0.43,-0.24,0.31,9.790000000000001
1686659297.311969,2.5625,-24.75,-45.25,-0.26,0.36,9.35,0.0,0.0,0.0,183.75,-1.375,-1.8125,0.0,0.02,-0.39,-0.24,0.31,9.790000000000001
1686659297.362692,3.375,-25.1875,-44.5,-0.24,0.33,9.38,0.001090830782496456,0.0,0.0,183.75,-1.375,-1.8125,-0.01,0.03,-0.42,-0.24,0.31,9.790000000000001
1686659297.413999,2.25,-24.375,-43.1875,-0.26,0.34,9.370000000000001,0.001090830782496456,0.003272492347489368,0.0,183.75,-1.375,-1.8125,0.0,0.04,-0.41000000000000003,-0.24,0.31,9.790000000000001
1686659297.464708,3.75,-25.1875,-43.6875,-0.25,0.33,9.38,0.001090830782496456,-0.003272492347489368,0.0,183.75,-1.375,-1.8125,0.0,0.03,-0.38,-0.24,0.31,9.790000000000001
1686659297.515059,2.5625,-25.5,-44.375,-0.26,0.34,9.370000000000001,-0.001090830782496456,0.001090830782496456,0.001090830782496456,183.75,-1.375,-1.8125,-0.01,0.03,-0.41000000000000003,-0.24,0.31,9.790000000000001
1686659297.565824,0.75,-25.1875,-43.1875,-0.25,0.33,9.38,0.002181661564992912,0.001090830782496456,-0.001090830782496456,183.75,-1.375,-1.8125,-0.01,0.02,-0.42,-0.24,0.31,9.790000000000001
1686659297.616112,2.5625,-24.75,-44.0,-0.25,0.34,9.370000000000001,-0.001090830782496456,0.0,0.0,183.75,-1.375,-1.8125,0.0,0.04,-0.4,-0.24,0.31,9.790000000000001
1686659297.667422,3.75,-25.1875,-43.6875,-0.22,0.33,9.35,-0.001090830782496456,-0.001090830782496456,0.001090830782496456,183.75,-1.375,-1.8125,0.0,0.02,-0.42,-0.24,0.31,9.790000000000001
1686659297.718103,1.5625,-25.5,-44.0,-0.23,0.35000000000000003,9.370000000000001,-0.001090830782496456,0.0,0.002181661564992912,183.75,-1.375,-1.8125,0.0,0.02,-0.4,-0.24,0.31,9.790000000000001
1686659297.768494,2.25,-24.375,-43.6875,-0.22,0.34,9.35,0.001090830782496456,-0.001090830782496456,-0.001090830782496456,183.75,-1.375,-1.8125,0.01,0.04,-0.4,-0.24,0.31,9.790000000000001
