time,magX,magY,magZ,accX,accY,accZ,gyrX,gyrY,gyrZ,eulerX,euleY,eulerZ,linX,linY,linZ,gravX,gravY,gravZ,servoPos,servoVel,servoCur
1686659507.549199,2.875,-22.5,-47.0625,-0.29,0.33,9.38,0.001090830782496456,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.04,0.0,-0.4,-0.25,0.34,9.790000000000001,4092,0,65535
1686659507.645137,3.1875,-22.875,-46.25,-0.3,0.31,9.36,0.001090830782496456,0.002181661564992912,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.4,-0.25,0.34,9.790000000000001,4089,4294967292,65531
1686659507.741125,3.5,-25.0625,-47.5,-0.29,0.33,9.35,0.0,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.02,0.02,-0.41000000000000003,-0.25,0.34,9.790000000000001,4075,4294967285,65534
1686659507.837085,2.875,-26.5625,-45.5,-0.28,0.35000000000000003,9.39,0.0,-0.002181661564992912,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.01,-0.38,-0.25,0.34,9.790000000000001,4048,4294967277,65531
1686659507.933062,3.875,-30.5625,-45.5,-0.3,0.35000000000000003,9.370000000000001,0.0,-0.003272492347489368,0.0,186.0,-1.4375,-2.0,-0.02,0.02,-0.4,-0.25,0.34,9.790000000000001,4012,4294967272,65532
1686659508.029056,3.875,-34.1875,-44.25,-0.28,0.35000000000000003,9.39,-0.001090830782496456,0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.42,-0.25,0.34,9.790000000000001,3975,4294967272,65532
1686659508.125005,2.0625,-39.0,-44.6875,-0.3,0.34,9.39,0.001090830782496456,0.0,0.0,186.0,-1.4375,-2.0,-0.03,0.01,-0.4,-0.25,0.34,9.790000000000001,3937,4294967271,65533
1686659508.220982,3.875,-40.0625,-41.75,-0.31,0.37,9.370000000000001,0.0,0.0,0.0,186.0,-1.4375,-2.0,-0.05,1.29,-0.39,-0.25,0.34,9.790000000000001,3899,4294967272,65534
1686659508.316954,4.6875,-43.6875,-43.0625,-0.29,0.34,9.42,0.001090830782496456,0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.42,-0.25,0.34,9.790000000000001,3862,4294967271,65533
1686659508.41297,4.25,-48.875,-41.5,-0.28,0.34,9.39,0.001090830782496456,0.0,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.42,-0.25,0.34,9.790000000000001,3824,4294967272,65533
1686659508.508906,7.5625,-52.5625,-41.0625,-0.31,0.35000000000000003,9.39,0.0,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.42,-0.25,0.34,9.790000000000001,3788,4294967272,65534
