time,magX,magY,magZ,accX,accY,accZ,gyrX,gyrY,gyrZ,eulerX,euleY,eulerZ,linX,linY,linZ,gravX,gravY,gravZ,servoPos,servoVel,servoCur
1686659357.068521,3.375,-25.1875,-43.6875,-0.26,0.34,9.370000000000001,0.001090830782496456,0.001090830782496456,0.001090830782496456,183.75,-1.375,-1.8125,0.0,0.03,-0.43,-0.24,0.31,9.790000000000001,4093,0,0
1686659357.164487,2.25,-24.375,-44.0,-0.26,0.31,9.4,-0.001090830782496456,0.0,0.001090830782496456,183.75,-1.375,-1.8125,0.0,0.04,-0.38,-0.24,0.31,9.790000000000001,4090,4294967292,65533
1686659357.260459,3.0,-25.5,-44.75,-0.23,0.33,9.370000000000001,0.001090830782496456,-0.001090830782496456,0.001090830782496456,183.75,-1.375,-1.8125,0.01,0.04,-0.43,-0.24,0.31,9.790000000000001,4077,4294967285,65533
1686659357.356403,2.25,-28.0625,-44.5,-0.24,0.33,9.39,-0.001090830782496456,-0.001090830782496456,0.001090830782496456,183.75,-1.375,-1.8125,-0.01,0.03,-0.42,-0.24,0.31,9.790000000000001,4050,4294967278,65534
1686659357.452374,2.5625,-32.0625,-44.0,-0.25,0.34,9.38,0.001090830782496456,-0.001090830782496456,-0.002181661564992912,183.75,-1.375,-1.8125,-0.01,0.02,-0.41000000000000003,-0.24,0.31,9.790000000000001,4015,4294967272,65534
1686659357.548332,2.0,-36.1875,-42.6875,-0.26,0.35000000000000003,8.09,0.0,-0.003272492347489368,0.001090830782496456,183.75,-1.375,-1.8125,-0.01,0.01,-0.4,-0.24,0.31,9.790000000000001,3976,4294967272,65534
1686659357.644281,2.5625,-40.5,-42.0,-0.25,0.33,9.370000000000001,-0.001090830782496456,-0.002181661564992912,0.0,183.75,-1.375,-1.8125,0.0,0.04,-0.42,-0.24,0.31,9.790000000000001,3939,4294967271,65535
1686659357.740247,4.5,-44.5,-42.0,-0.24,0.31,9.38,0.0,0.001090830782496456,-0.001090830782496456,183.75,-1.375,-1.8125,0.0,0.01,-0.39,-0.24,0.31,9.790000000000001,3902,4294967272,65534
1686659357.836216,2.5625,-48.1875,-41.1875,-0.25,0.33,9.39,0.001090830782496456,0.002181661564992912,-0.002181661564992912,183.75,-1.375,-1.8125,0.0,0.03,-0.39,-0.24,0.31,9.790000000000001,3864,4294967271,65534
1686659357.932183,4.5,-51.875,-39.1875,-0.24,1.61,9.39,0.0,0.002181661564992912,-0.001090830782496456,183.75,-1.375,-1.8125,-0.02,0.04,-0.42,-0.24,0.31,9.790000000000001,3827,4294967272,65534
1686659358.02814,6.25,-55.5,-39.6875,-0.24,0.33,9.39,0.001090830782496456,0.001090830782496456,0.0,183.75,-1.375,-1.8125,0.0,0.04,-0.42,-0.24,0.31,9.790000000000001,3788,4294967272,65534
1686659358.124103,7.375,-57.6875,-38.5,-0.25,0.36,9.39,0.001090830782496456,-0.001090830782496456,0.0,183.75,-1.375,-1.8125,0.01,0.01,-0.43,-0.24,0.31,9.790000000000001,3751,4294967271,65533
1686659358.220062,9.5625,-61.375,-38.75,-0.24,0.34,9.41,0.002181661564992912,0.001090830782496456,0.001090830782496456,183.75,-1.375,-1.8125,0.0,0.02,-0.39,-0.24,0.31,9.790000000000001,3714,4294967272,65535
1686659358.316018,11.0625,-64.25,-36.375,-0.23,0.35000000000000003,9.38,-0.001090830782496456,-0.002181661564992912,0.0,183.75,-1.375,-1.8125,0.0,0.01,-0.39,-0.24,0.31,9.790000000000001,3677,4294967271,65534
1686659358.411988,14.0,-68.6875,-36.375,-0.24,0.33,9.4,0.002181661564992912,0.0,0.0,183.75,-1.375,-1.8125,-0.01,0.04,-0.39,-0.24,0.31,9.790000000000001,3639,4294967271,65535
1686659358.507959,16.1875,-73.0625,-35.5625,-0.24,0.34,9.36,0.0,0.001090830782496456,0.0,183.75,-1.375,-1.8125,-0.02,0.04,-0.4,-0.24,0.31,9.790000000000001,3601,4294967272,65534
1686659358.603918,18.375,-75.6875,-34.6875,-0.27,0.31,9.34,-0.001090830782496456,0.001090830782496456,0.0,183.75,-1.375,-1.8125,-0.01,0.02,-0.4,-0.24,0.31,9.790000000000001,3564,4294967271,65535
1686659358.699896,20.1875,-79.0,-33.5,-0.25,0.35000000000000003,9.36,-0.001090830782496456,0.004363323129985824,0.0,183.75,-1.375,-1.8125,0.01,0.03,-0.37,-0.24,0.31,9.790000000000001,3526,4294967272,65535
1686659358.795853,23.875,-82.1875,-33.5625,-0.24,0.34,9.39,0.001090830782496456,0.001090830782496456,0.001090830782496456,183.75,-1.375,-1.8125,-0.02,0.02,-0.38,-0.24,0.31,9.790000000000001,3489,4294967271,65533
1686659358.891801,27.875,-84.375,-31.5,-0.24,0.34,9.36,0.0,0.0,0.0,183.75,-1.375,-1.8125,-0.01,0.01,-0.38,-0.24,0.31,9.790000000000001,3451,4294967272,65534
1686659358.987761,32.0,-87.375,-30.0,-0.25,0.34,9.39,0.001090830782496456,0.001090830782496456,0.002181661564992912,183.75,-1.375,-1.8125,0.0,0.0,-0.38,-0.24,0.31,9.790000000000001,3414,4294967271,65534
1686659359.083748,34.75,-89.875,-30.0,-0.25,0.35000000000000003,9.39,0.0,0.0,0.002181661564992912,183.75,-1.375,-1.8125,-0.01,0.02,-0.42,-0.24,0.31,9.790000000000001,3377,4294967271,65532
1686659359.179708,36.0,-91.375,-28.875,-0.25,0.34,9.38,0.0,0.001090830782496456,0.002181661564992912,183.75,-1.375,-1.8125,0.0,0.03,-0.45,-0.24,0.31,8.51,3338,4294967272,65533
